rank,code,name,momentum,volatility,volume_ratio,turnover_stability,pvt,clv,score,momentum_norm,volatility_norm,volume_ratio_norm,turnover_stability_norm,pvt_norm,clv_norm
77,002153,石基信息,0.30944942948930987,-0.023317949558732506,1.7919973742481197,0.5993559054315493,0.10226872820740847,0.46280991735537197,62.22719234365072,67.09292832387703,60.59505419496056,49.3476149713059,35.161025793275435,49.772050592116756,46.28099173553719
78,002571,德力股份,0.39410894734562274,-0.051935804945659,0.6908937720078587,0.6476046250926674,0.021737217805308046,0.14606741573033616,61.84883313611333,79.40395284325487,0.0,3.7898924819899436,48.22682171873772,36.65230435798533,14.606741573033617
79,600058,五矿发展,0.293041551372022,-0.03469955988094459,2.25962493124235,0.5987278275571336,0.26883445797019034,1.0,61.8195516132036,64.70692619525951,36.49578871976266,68.695518680417,34.990941749801294,76.9080138303477,100.0
80,002050,三花智控,0.3390887627740651,-0.03446335938861653,0.992600753713374,0.6769625738000961,0.0735699765604148,0.22077922077922107,61.81386279749375,71.4030232552696,36.995916400190936,16.272898547598846,56.17698017466396,45.09660942672794,22.077922077922103
81,601208,东材科技,0.352971872907845,-0.039776220338229244,0.844865295083886,0.7400407513187115,0.009820761733825598,0.07547169811320818,61.612013301987815,73.42187847190658,25.746537548442976,10.16040285474992,73.25860639390802,34.71094154376018,7.54716981132082
82,601179,中国西电,0.31828452639190163,-0.03324692164272241,2.025116496286048,0.6617949627834298,0.05586767291444837,0.9248554913294803,61.59594132075107,68.37771114987297,39.571584986835724,58.99282569184948,52.069577706526346,42.212648472376316,92.48554913294801
83,600337,美克家居,0.3930720388284963,-0.04498906933445604,2.0107923288627796,0.5855260986694745,-0.20324163292788666,0.10714285714285653,61.43891312567319,79.25316759781607,14.708922634056048,58.400168976321474,31.415901899605252,0.0,10.714285714285655
84,600869,远东股份,0.4143786446563901,-0.045680979928579966,1.4388577174475714,0.5180082538556673,-0.20324163292788666,0.1413043478260878,61.36389199299072,82.35153330333682,13.243880639044772,34.73660248187333,13.13200985313611,0.0,14.13043478260878
85,002899,英派斯,0.2920215423181294,-0.0325432288845909,0.950672708050843,0.688373367676271,0.28373935933857364,0.26618705035971285,60.921058879246864,64.55859843731301,41.06157437419769,14.538142376674834,59.26703324095834,79.33623754826328,26.61870503597128
86,002284,亚太股份,0.3206992008352243,-0.03549207444331759,2.5248429358477122,0.6280913492379167,-0.019264698000718936,0.3983050847457639,60.719787722307366,68.72884847064667,34.817729263244985,79.6688078680994,42.94260937183717,29.972500045333756,39.83050847457639
